,Study_number,Rs_annual,Study_midyear,geometry,color
4961,6451.0,619.0,1086048000.0,POINT (7.883333333 47.26666667),#2d9700ff
4962,6451.0,573.0,1117584000.0,POINT (7.883333333 47.26666667),#299500ff
4960,6451.0,572.0,1054425600.0,POINT (7.883333333 47.26666667),#299500ff
4954,6451.0,442.0,1022889600.0,POINT (9.066666667 47.16666667),#209000ff
4958,6451.0,665.0,991353600.0,POINT (7.883333333 47.26666667),#309800ff
4949,6451.0,731.0,1022889600.0,POINT (7.766666667 46.71666667),#359b00ff
4959,6451.0,638.0,1022889600.0,POINT (7.883333333 47.26666667),#2e9700ff
4950,6451.0,785.0,1054425600.0,POINT (7.766666667 46.71666667),#399d00ff
4951,6451.0,679.0,1086048000.0,POINT (7.766666667 46.71666667),#319900ff
4952,6451.0,700.0,1117584000.0,POINT (7.766666667 46.71666667),#339a00ff
4948,6451.0,738.0,991353600.0,POINT (7.766666667 46.71666667),#359b00ff
4953,6451.0,435.0,991353600.0,POINT (9.066666667 47.16666667),#1f9000ff
4955,6451.0,490.0,1054425600.0,POINT (9.066666667 47.16666667),#239200ff
4956,6451.0,411.0,1086048000.0,POINT (9.066666667 47.16666667),#1e8f00ff
4957,6451.0,431.0,1117584000.0,POINT (9.066666667 47.16666667),#1f9000ff
4967,6458.0,644.0,1212278400.0,POINT (-74.571 49.76),#2f9700ff
4966,6458.0,500.0,1212278400.0,POINT (-74.03700000000001 49.267),#249200ff
4965,6458.0,593.0,1212278400.0,POINT (-74.342 49.692),#2b9600ff
4969,6462.0,1050.0,1212278400.0,POINT (24.28861111 62.51666667),#4ca600ff
4972,6462.0,1050.0,1212278400.0,POINT (24.28861111 62.51666667),#4ca600ff
4973,6462.0,1078.0,1212278400.0,POINT (24.28861111 62.51666667),#4ea700ff
4968,6462.0,1050.0,1212278400.0,POINT (24.28861111 62.51666667),#4ca600ff
4970,6462.0,929.0,1212278400.0,POINT (24.28861111 62.51666667),#43a200ff
4971,6462.0,950.0,1212278400.0,POINT (24.28861111 62.51666667),#45a300ff
4979,6465.0,35.0,1275350400.0,POINT (-71.28333333 -30.25),#028100ff
4978,6465.0,33.0,1275350400.0,POINT (-71.28333333 -30.25),#028100ff
4977,6465.0,27.0,1243814400.0,POINT (-71.28333333 -30.25),#018100ff
4976,6465.0,31.0,1243814400.0,POINT (-71.28333333 -30.25),#028100ff
4975,6465.0,29.0,1212278400.0,POINT (-71.28333333 -30.25),#028100ff
4974,6465.0,33.0,1212278400.0,POINT (-71.28333333 -30.25),#028100ff
4980,6479.0,1780.0,1275350400.0,POINT (132.1055556 -12.695),#82c100ff
4981,6479.0,770.0,1275350400.0,POINT (132.1055556 -12.695),#389c00ff
4994,6492.0,151.0,1243814400.0,POINT (27.5 59.1),#0b8600ff
4995,6492.0,192.0,1243814400.0,POINT (27.5 59.1),#0e8700ff
4996,6492.0,285.0,1243814400.0,POINT (27.5 59.1),#148a00ff
4997,6492.0,174.0,1243814400.0,POINT (27.5 59.1),#0c8600ff
5009,6493.0,1490.0,1212278400.0,POINT (-87.06666667 31.01666667),#6cb600ff
5012,6493.0,1570.0,1212278400.0,POINT (-87.06666667 31.01666667),#72b900ff
5011,6493.0,1440.0,1212278400.0,POINT (-87.06666667 31.01666667),#69b400ff
5008,6493.0,1570.0,1212278400.0,POINT (-87.06666667 31.01666667),#72b900ff
5010,6493.0,1790.0,1212278400.0,POINT (-87.06666667 31.01666667),#82c100ff
5006,6493.0,1350.0,1212278400.0,POINT (-87.06666667 31.01666667),#62b100ff
5005,6493.0,1250.0,1212278400.0,POINT (-87.06666667 31.01666667),#5bae00ff
5004,6493.0,1570.0,1212278400.0,POINT (-87.06666667 31.01666667),#72b900ff
5003,6493.0,1570.0,1212278400.0,POINT (-87.06666667 31.01666667),#72b900ff
5007,6493.0,1360.0,1212278400.0,POINT (-87.06666667 31.01666667),#63b200ff
5002,6493.0,1480.0,1212278400.0,POINT (-87.06666667 31.01666667),#6cb600ff
5001,6493.0,1100.0,1212278400.0,POINT (-87.06666667 31.01666667),#50a800ff
5000,6493.0,1120.0,1212278400.0,POINT (-87.06666667 31.01666667),#51a900ff
4999,6493.0,1490.0,1212278400.0,POINT (-87.06666667 31.01666667),#6cb600ff
4998,6493.0,1320.0,1212278400.0,POINT (-87.06666667 31.01666667),#60b000ff
5013,6495.0,2160.0,1180656000.0,POINT (117.4405556 5.333611111),#9dcf00ff
5014,6495.0,2860.0,1180656000.0,POINT (117.6422222 5.088888889),#d1e800ff
5015,6497.0,92.0,1180656000.0,POINT (133.29 34.08),#068300ff
5022,6504.0,550.0,1212278400.0,POINT (13.03333333 53.13333333),#289400ff
5021,6504.0,776.0,1180656000.0,POINT (13.03333333 53.13333333),#389c00ff
5020,6504.0,513.0,1149120000.0,POINT (13.03333333 53.13333333),#259300ff
5019,6504.0,615.0,1117584000.0,POINT (13.03333333 53.13333333),#2c9600ff
5018,6504.0,556.0,1086048000.0,POINT (13.03333333 53.13333333),#289400ff
5038,6505.0,851.0,1180656000.0,POINT (11.96666667 55.88333333),#3e9f00ff
5037,6505.0,898.0,1180656000.0,POINT (11.96666667 55.88333333),#41a100ff
5036,6505.0,1016.0,1180656000.0,POINT (11.96666667 55.88333333),#4aa500ff
5035,6505.0,843.0,1180656000.0,POINT (11.96666667 55.88333333),#3d9f00ff
5034,6505.0,612.0,1180656000.0,POINT (11.96666667 55.88333333),#2c9600ff
5031,6505.0,719.0,1180656000.0,POINT (11.96666667 55.88333333),#349a00ff
5032,6505.0,777.0,1180656000.0,POINT (11.96666667 55.88333333),#389c00ff
5030,6505.0,826.0,1149120000.0,POINT (11.96666667 55.88333333),#3c9e00ff
5029,6505.0,873.0,1149120000.0,POINT (11.96666667 55.88333333),#3fa000ff
